gender,age,height,weight,race,major,year,centre
Male,22.51,172.48,66.95,White,Environmental Sciences,2000,Online
Male,20.56,170.83,64.63,White,Biology,2002,Online
Female,19.77,170.06,65.03,White,Biology,2001,Campus
Male,19.33,170.16,64.79,White,Mathematics and Statistics,2000,Online
Female,20.33,171.48,65.47,White,Biology,2002,Campus
Female,18.2,169.73,64.66,White,Social Sciences,2001,Online
Female,18.51,168.69,65.31,White,Mathematics and Statistics,2000,Online
Female,20.43,170.3,65.63,White,Economics and Finance,2002,Campus
Female,20.08,170.01,65.52,White,Political Science,2001,Online
Female,19.13,168.81,65.68,White,Biology,2000,Online
Male,20.59,171.15,65.25,White,Mathematics and Statistics,2002,Campus
Male,19.5,170.02,65.23,White,Economics and Finance,2001,Online
Female,20.5,169.28,63.67,White,Political Science,2000,Campus
Female,20.4,170.47,64.86,White,Environmental Sciences,2002,Online
Female,20.09,170.76,64.61,White,Political Science,2001,Online
Male,18.91,170.31,64.51,White,Biology,2000,Campus
Male,20.41,170.37,64.52,White,Economics and Finance,2002,Online
Male,18.63,169.9,64.55,White,Social Sciences,2001,Online
Female,19.72,170.5,66.58,White,Economics and Finance,2000,Online
Female,19.38,169.73,66.21,White,Social Sciences,2002,Campus
Female,20.23,170.07,65.27,White,Political Science,2001,Online
Male,20.73,171.98,66.29,White,Biology,2000,Online
Male,19.68,170.96,66.19,White,Mathematics and Statistics,2002,Online
Male,20.39,170.75,64.98,White,Mathematics and Statistics,2001,Online
Male,21.7,170.4,65.65,White,Environmental Sciences,2000,Campus
Male,20.83,168.24,65.25,White,Environmental Sciences,2002,Campus
Male,19.56,169.14,64.18,White,Mathematics and Statistics,2001,Online
Female,20.47,170.63,65.86,White,Biology,2000,Campus
Male,20.06,168.89,65.81,White,Economics and Finance,2002,Online
Male,20.43,169.41,63.28,White,Mathematics and Statistics,2001,Online
Male,20.48,170.05,66.17,White,Economics and Finance,2000,Online
Female,22.99,172,66.79,White,Economics and Finance,2002,Online
Female,22.08,172,65.39,White,Economics and Finance,2001,Campus
Male,20.18,170.54,64.97,White,Biology,2000,Campus
Male,20.08,169.95,64.76,White,Political Science,2002,Online
Male,19.85,169.5,63.76,White,Environmental Sciences,2001,Campus
Female,18.59,168.76,63.58,White,Social Sciences,2000,Online
Female,19.85,169.8,66.01,White,Environmental Sciences,2002,Online
Male,20.11,168.71,64.2,White,Social Sciences,2001,Online
Female,19.41,168.83,63.9,White,Economics and Finance,2000,Campus
Female,20.8,171.03,65.91,White,Social Sciences,2002,Campus
Female,18.1,168.37,62.84,White,Mathematics and Statistics,2001,Campus
Female,21.25,171.32,64.7,White,Mathematics and Statistics,2000,Online
Female,21.51,171.17,66.15,White,Political Science,2002,Online
Male,21.49,171.85,66.02,White,Social Sciences,2001,Campus
Female,20.36,170.49,64.53,White,Social Sciences,2000,Online
Male,19.4,169.74,65.18,White,Mathematics and Statistics,2002,Campus
Male,21.61,171.62,66.33,White,Biology,2001,Campus
Female,21.35,170.15,63.96,White,Biology,2000,Campus
Male,19.81,169.58,65.28,White,Environmental Sciences,2002,Online
Female,20.11,170.36,66.16,White,Environmental Sciences,2001,Online
Male,19.35,170.02,63.83,White,Biology,2000,Campus
Male,21.08,171.59,66.98,White,Mathematics and Statistics,2002,Campus
Female,18.9,169.06,64.64,White,Social Sciences,2001,Online
Male,20.9,171.03,65.44,White,Mathematics and Statistics,2000,Campus
Female,20.96,171.34,65.87,White,Environmental Sciences,2002,Online
Female,19.72,167.58,64.55,White,Biology,2001,Online
Female,22.83,171.59,65.41,White,Biology,2000,Campus
Male,20.94,170.05,65.67,White,Environmental Sciences,2002,Campus
Male,18.85,168.45,64.84,White,Biology,2001,Online
Male,20.91,169.74,63.9,White,Mathematics and Statistics,2000,Campus
Male,20.19,170.54,66.24,White,Environmental Sciences,2002,Campus
Male,20.21,169.33,63.59,White,Economics and Finance,2001,Online
Female,20.34,170.16,64.74,White,Economics and Finance,2000,Online
Male,18.17,167.34,64.97,White,Biology,2002,Campus
Male,20.95,170.6,66.17,White,Environmental Sciences,2001,Online
Female,20.9,171.43,65.09,White,Biology,2000,Online
Male,20.08,169.86,64.53,White,Social Sciences,2002,Campus
Female,22.02,171.81,66.03,White,Social Sciences,2001,Online
Female,20.18,171.61,67.08,White,Biology,2000,Online
Male,18.98,169.52,64.46,White,Environmental Sciences,2002,Online
Male,18.71,169.33,65.19,White,Economics and Finance,2001,Campus
Female,17.41,168.43,64.14,White,Biology,2000,Campus
Male,21.2,170.48,66.19,White,Environmental Sciences,2002,Online
Female,19.76,169.03,64.78,White,Biology,2001,Online
Male,20.45,170.18,64.32,White,Social Sciences,2000,Online
Male,21.4,171.46,66.14,White,Environmental Sciences,2002,Online
Female,18.82,168.83,63.87,White,Social Sciences,2001,Campus
Female,20.96,171.05,67.8,White,Political Science,2000,Online
Female,20.77,170.84,65.89,White,Political Science,2002,Campus
Female,20.58,169.95,64.83,White,Environmental Sciences,2001,Online
Male,18.01,167.57,63.86,White,Mathematics and Statistics,2000,Campus
Female,22.05,172.4,66.23,White,Mathematics and Statistics,2002,Campus
Female,19.49,169.16,64.52,White,Environmental Sciences,2001,Campus
Male,21.3,171.07,64.99,White,Environmental Sciences,2000,Online
Female,19.9,170.06,63.9,White,Political Science,2002,Campus
Male,21.7,171.65,63.89,White,Environmental Sciences,2001,Online
Female,17.56,167.76,63.01,White,Economics and Finance,2000,Online
Female,21.58,172.34,66.64,White,Political Science,2002,Online
Male,19.94,169.34,64.28,White,Mathematics and Statistics,2001,Online
Female,21.61,171.18,65.65,White,Political Science,2000,Campus
Female,20.63,169.4,66.32,White,Mathematics and Statistics,2002,Online
Male,19.26,169.11,64.36,White,Economics and Finance,2001,Campus
Female,20.76,169.77,65.02,White,Economics and Finance,2000,Online
Female,21.12,170.51,64.32,White,Biology,2002,Online
Male,19.6,168.61,64.33,White,Mathematics and Statistics,2001,Campus
Male,21.04,170.98,66.85,White,Mathematics and Statistics,2000,Online
Female,21.04,171.36,64.29,White,Biology,2002,Online
Female,20.95,170.31,65.17,White,Economics and Finance,2001,Online
Male,21.18,171.55,66.82,White,Economics and Finance,2000,Online
Female,20.72,170,65.11,White,Political Science,2002,Online
Male,19.63,169.37,64.41,White,Economics and Finance,2001,Online
Male,20.97,171.37,67.35,White,Biology,2000,Online
Female,22.25,171.39,66.13,White,Biology,2002,Online
Female,21.19,170.83,65.25,White,Economics and Finance,2001,Online
Male,20.57,171.21,64.8,White,Mathematics and Statistics,2000,Campus
Female,19.69,170.64,66,White,Political Science,2002,Online
Male,21.48,169.98,65.55,White,Political Science,2001,Online
Female,19.89,169.88,65.19,White,Economics and Finance,2000,Online
Male,19.64,169.46,64.24,White,Economics and Finance,2002,Online
Male,20.93,169.61,65.5,White,Environmental Sciences,2001,Online
Male,19.86,170.31,63.43,White,Mathematics and Statistics,2000,Campus
Male,19.86,169.62,66.88,White,Political Science,2002,Campus
Female,20.7,170.77,65.21,White,Environmental Sciences,2001,Online
Male,20.22,169.54,62.87,White,Economics and Finance,2000,Campus
Male,21.46,171.16,67.18,White,Economics and Finance,2002,Online
Male,20.84,169.09,65.2,White,Political Science,2001,Online
Female,19.6,169.63,65.53,White,Political Science,2000,Online
Male,19.64,170.32,63.96,White,Economics and Finance,2002,Campus
Female,20.04,171.18,64.34,White,Biology,2001,Online
Female,19.1,169.23,65.86,White,Social Sciences,2000,Online
Female,21.43,171.19,64.59,White,Social Sciences,2002,Online
Female,19.41,168.75,64.29,White,Political Science,2001,Campus
Female,18.61,168.57,65.02,White,Environmental Sciences,2000,Online
Male,21.73,171.22,65.45,White,Biology,2002,Campus
Female,18.81,169.15,64.83,White,Economics and Finance,2001,Online
Female,20.24,170.3,67.49,White,Political Science,2000,Online
Male,20.59,169.5,65.99,White,Social Sciences,2002,Online
Female,19.92,170,66.59,White,Mathematics and Statistics,2001,Online
Male,21.55,171.34,65.05,White,Economics and Finance,2000,Campus
Female,20.11,169.31,65.64,White,Biology,2002,Campus
Male,19.23,168.92,64.54,White,Economics and Finance,2001,Online
Male,21.53,171.11,66.15,White,Economics and Finance,2000,Campus
Female,20.04,170.25,65.46,White,Social Sciences,2002,Campus
Male,20.99,170.4,66.33,White,Political Science,2001,Online
Female,21.59,169.77,66.01,White,Social Sciences,2000,Campus
Female,20.14,171.08,65.62,White,Environmental Sciences,2002,Campus
Female,22.48,172.83,65.72,White,Environmental Sciences,2001,Campus
Male,21.7,171.18,66.12,White,Environmental Sciences,2000,Campus
Male,18.18,170.5,64.51,White,Mathematics and Statistics,2002,Online
Female,19.67,169.71,65.04,White,Environmental Sciences,2001,Online
Male,19.44,168.3,63.92,White,Political Science,2000,Online
Female,17.53,167.54,63.55,White,Political Science,2002,Online
Female,19.24,168.63,64.7,White,Political Science,2001,Online
Female,19.3,170.05,64.17,White,Social Sciences,2000,Online
Male,19.54,169.76,65.29,White,Biology,2002,Online
Male,20.91,170.94,65.88,White,Environmental Sciences,2001,Campus
Female,20.64,169.93,62.74,White,Biology,2000,Campus
Female,20.78,170.35,65.31,White,Political Science,2002,Online
Male,21.37,170.21,65.25,White,Environmental Sciences,2001,Campus
Male,20.36,170.13,65.41,White,Mathematics and Statistics,2000,Online
Female,19.02,169.29,65.68,White,Biology,2002,Campus
Male,19.08,170.12,63.64,White,Economics and Finance,2001,Campus
Female,21.36,170.56,64.94,White,Political Science,2000,Online
Male,20.02,170.22,64.29,White,Mathematics and Statistics,2002,Campus
Female,18.44,169.03,64.69,White,Biology,2001,Campus
Male,19.58,170.01,65.42,White,Environmental Sciences,2000,Online
Male,21.65,170.41,66.4,White,Social Sciences,2002,Campus
Male,21.37,170.98,64.65,White,Biology,2001,Online
Female,21.55,172.14,67.82,White,Biology,2000,Campus
Female,18.66,168.09,63.99,White,Economics and Finance,2002,Campus
Female,19.33,169.04,64.66,White,Social Sciences,2001,Online
Male,19.1,169.52,64.19,White,Environmental Sciences,2000,Campus
Male,19.49,168.72,65.81,White,Economics and Finance,2002,Campus
Female,19.45,170.02,64.09,White,Political Science,2001,Online
Female,19.66,169.6,65.7,White,Mathematics and Statistics,2000,Online
Male,18.97,170.37,64.03,White,Environmental Sciences,2002,Campus
Male,19.28,169.75,64.86,White,Environmental Sciences,2001,Campus
Female,19.86,169.28,65.15,White,Environmental Sciences,2000,Campus
Female,21.43,171.47,66.66,White,Economics and Finance,2002,Online
Female,19.81,170.13,66.21,White,Political Science,2001,Campus
Male,20.39,170.54,65.59,White,Environmental Sciences,2000,Campus
Male,19.16,168.76,64.19,White,Economics and Finance,2002,Online
Male,21.28,170.85,65.58,White,Mathematics and Statistics,2001,Campus
Female,20.28,170.25,64.59,White,Biology,2000,Online
Female,19.94,170.26,65.38,White,Political Science,2002,Online
Female,20.86,171.81,66.16,White,Social Sciences,2001,Campus
Female,18.9,169.16,64.01,White,Political Science,2000,Campus
Female,20.87,171.8,66.33,White,Biology,2002,Online
Female,20.38,169.5,63.73,White,Biology,2001,Campus
Male,21.95,172,67.43,White,Mathematics and Statistics,2000,Online
Male,20.68,170.93,65.08,White,Economics and Finance,2002,Online
Male,19.42,169.84,64.75,White,Social Sciences,2001,Campus
Female,18.2,168.07,64.64,White,Biology,2000,Online
Female,19.33,169.13,64.47,White,Biology,2002,Online
Male,20.76,170.93,65.35,White,Mathematics and Statistics,2001,Online
Male,18.76,169.02,64.42,White,Economics and Finance,2000,Online
Female,20.9,170.32,65.97,White,Economics and Finance,2002,Online
Female,19.79,169.04,64.25,White,Economics and Finance,2001,Campus
Male,21.54,170.87,65.71,White,Environmental Sciences,2000,Campus
Female,19.61,169.66,64.84,White,Social Sciences,2002,Online
Male,19.93,169.19,64.21,White,Mathematics and Statistics,2001,Online
Male,17.82,168.83,64.86,White,Mathematics and Statistics,2000,Campus
Male,20.28,170.42,64.61,White,Political Science,2002,Online
Male,18.11,167.94,64.08,White,Mathematics and Statistics,2001,Campus
Male,20.27,169.59,64.25,White,Biology,2000,Online
Male,20.21,170.24,63.98,White,Environmental Sciences,2002,Campus
Male,19.07,169.54,64.68,White,Environmental Sciences,2001,Online
Male,19.56,170.23,65.03,White,Mathematics and Statistics,2000,Campus
Male,20.44,170.97,65.9,White,Social Sciences,2002,Online
Female,20.43,170.63,65.75,White,Biology,2001,Campus
Female,20.33,169.66,64.6,White,Political Science,2000,Online
Male,20.51,171.51,65.74,White,Economics and Finance,2002,Online
Male,19.9,170.25,65.37,White,Economics and Finance,2001,Campus
Male,19.79,171.13,66.06,White,Biology,2000,Online
Male,17.24,168.08,63.88,White,Political Science,2002,Online
Male,21.01,169.09,64.79,White,Political Science,2001,Online
Female,18.33,170.07,64.61,White,Biology,2000,Campus
Male,18.24,168.84,64.01,White,Environmental Sciences,2002,Online
Female,20.77,171.62,65.94,White,Economics and Finance,2001,Online
Male,21,170.98,65.86,White,Environmental Sciences,2000,Campus
Male,21.2,170.94,64.71,White,Economics and Finance,2002,Online
Male,21.8,171.77,66.62,White,Biology,2001,Campus
Female,18.72,169.39,64,White,Environmental Sciences,2000,Online
Male,19.97,170.77,65.72,White,Mathematics and Statistics,2002,Online
Male,19.26,168.61,66.61,White,Mathematics and Statistics,2001,Online
Female,19.57,169.87,63.51,White,Social Sciences,2000,Campus
Female,21.04,171.78,66.34,White,Environmental Sciences,2002,Online
Male,20.01,168.03,63.36,White,Economics and Finance,2001,Campus
Female,19.78,170.08,64.88,White,Political Science,2000,Online
Female,19.96,170.33,65.94,White,Social Sciences,2002,Online
Female,20.4,170.42,64.55,White,Biology,2001,Online
Female,19.31,169.47,66.33,White,Social Sciences,2000,Online
Male,20.05,169.99,64.58,White,Biology,2002,Online
Male,20.5,172.08,67.02,White,Mathematics and Statistics,2001,Online
Male,19.56,169.71,65.16,White,Economics and Finance,2000,Online
Male,20.54,170.74,66.52,White,Environmental Sciences,2002,Campus
Male,18.85,170.6,64.29,White,Economics and Finance,2001,Campus
Male,20.19,168.93,65.46,White,Political Science,2000,Online
Female,20.07,169.54,65.08,White,Biology,2002,Online
Male,21.75,171.36,66.71,White,Mathematics and Statistics,2001,Online
Female,20.52,171.28,65.53,White,Biology,2000,Online
Male,18.25,168.31,64.48,White,Economics and Finance,2002,Online
Male,19.76,169.55,64.93,White,Mathematics and Statistics,2001,Campus
Male,21.25,171.83,66.39,White,Biology,2000,Campus
Female,19.74,169.89,66.6,White,Political Science,2002,Online
Female,20.46,170.07,65.68,White,Social Sciences,2001,Online
Female,20.28,169.52,63.95,White,Economics and Finance,2000,Campus
Female,20.07,168.79,65.28,White,Social Sciences,2002,Campus
Male,19.06,169.74,64.95,White,Environmental Sciences,2001,Online
Female,20.47,169.64,65.31,White,Social Sciences,2000,Online
Male,20.85,170.18,64.29,White,Political Science,2002,Campus
Male,18.12,168.18,63.28,White,Biology,2001,Campus
Female,19.89,169.25,65.35,White,Biology,2000,Online
Female,19.91,168.42,63.52,White,Environmental Sciences,2002,Campus
Male,21.71,170.46,65.24,White,Economics and Finance,2001,Online
Female,19.59,170.01,64.77,White,Mathematics and Statistics,2000,Online
Male,18.96,170.04,64.03,White,Mathematics and Statistics,2002,Online
Female,21.67,172.09,66.73,White,Economics and Finance,2001,Campus
Male,20.17,170.08,64.81,White,Economics and Finance,2000,Campus
Male,20.71,171.26,65.36,White,Political Science,2002,Online
Male,20.74,170.89,65.6,White,Environmental Sciences,2001,Online
Male,19.51,171.42,65.43,White,Mathematics and Statistics,2000,Campus
Male,19.19,169.58,65.06,White,Economics and Finance,2002,Campus
Female,20.95,170.49,64.59,White,Political Science,2001,Online
Female,21.05,170.14,65.32,White,Political Science,2000,Online
Female,20.29,169.97,64.73,White,Biology,2002,Online
Female,20.51,170.55,65.74,White,Biology,2001,Campus
Female,20.82,171.28,65.26,White,Social Sciences,2000,Online
Female,20.7,170.44,66.23,White,Biology,2002,Online
Female,20.35,170.77,64.44,White,Economics and Finance,2001,Campus
Male,19.7,170.89,65.97,White,Mathematics and Statistics,2000,Online
Male,20.67,169.7,65.72,White,Political Science,2002,Online
Female,18.96,170.93,65.95,White,Mathematics and Statistics,2001,Online
Male,20.61,170.67,64.41,White,Political Science,2000,Campus
Female,20.38,170.53,65.41,White,Social Sciences,2002,Campus
Male,20.75,171.38,67.33,White,Social Sciences,2001,Online
Male,20.01,171.01,66.64,White,Political Science,2000,Campus
Male,21.96,172.15,67.37,White,Biology,2002,Campus
Male,18.88,170.04,64.67,White,Political Science,2001,Online
Male,21.79,172.35,65.5,White,Environmental Sciences,2000,Campus
Female,20.6,171.49,65.29,White,Environmental Sciences,2002,Online
Female,18.46,167.92,63.91,White,Environmental Sciences,2001,Campus
Male,21.08,170.96,66.67,White,Economics and Finance,2000,Online
Male,20.08,170.78,63.86,White,Social Sciences,2002,Campus
Male,20.29,170.8,65.35,White,Economics and Finance,2001,Campus
Male,18.14,169.11,64.23,White,Social Sciences,2000,Online
Female,20.11,169.99,65.32,White,Biology,2002,Online
Female,19.36,169.78,62.86,White,Biology,2001,Campus
Female,19.49,168.94,63.44,White,Social Sciences,2000,Online
Female,19.72,169.79,64.34,White,Biology,2002,Online
Male,18.92,169.07,63.85,White,Economics and Finance,2001,Online
Female,21.2,171,65.31,White,Mathematics and Statistics,2000,Online
Male,20.41,169.96,64.42,White,Economics and Finance,2002,Online
Female,22.02,170.61,66.24,White,Political Science,2001,Online
Male,21,171.28,66.84,White,Mathematics and Statistics,2000,Online
Male,20.73,171.4,65.48,White,Biology,2002,Campus
Male,19.67,170.39,64.68,White,Economics and Finance,2001,Campus
Female,20.36,170.16,65.18,White,Social Sciences,2000,Online
Male,20.93,170.68,67.12,White,Mathematics and Statistics,2002,Online
Female,21.03,170.11,63.63,White,Economics and Finance,2001,Online
Female,19.88,170.85,65.13,White,Biology,2000,Online
Male,19.44,169.13,64.55,White,Mathematics and Statistics,2002,Campus
Male,18.23,168.95,64.09,White,Mathematics and Statistics,2001,Campus
Male,19.05,168.98,63.46,White,Economics and Finance,2000,Campus
Male,19,168.35,64.88,White,Social Sciences,2002,Online
Female,19.23,170.58,65.32,White,Biology,2001,Online
Female,21.02,170.78,64.9,White,Mathematics and Statistics,2000,Online
Female,21.11,172.82,66.61,White,Biology,2002,Online
Male,20.02,170.46,66.14,White,Social Sciences,2001,Online
Male,21,169.15,64.31,White,Economics and Finance,2000,Online
Female,18.94,169.25,65.07,White,Biology,2002,Online
Female,19,169.29,65.66,White,Biology,2001,Online
Female,20.54,169.82,64.37,White,Political Science,2000,Online
Female,18.64,169.02,63.96,White,Political Science,2002,Online
Male,19.93,170.18,63.95,White,Biology,2001,Campus
Female,19.04,170.13,64.7,White,Environmental Sciences,2000,Campus
Male,22.5,173.15,67.83,White,Economics and Finance,2002,Online
Female,20.18,169.31,64.2,White,Environmental Sciences,2001,Online
Female,20.04,169.73,63.42,White,Political Science,2000,Online
Female,20.88,171.47,66.59,White,Environmental Sciences,2002,Online
Male,18.9,167.82,64.3,White,Mathematics and Statistics,2001,Campus
Female,19.96,169.19,64.27,White,Environmental Sciences,2000,Online
Male,19.6,169.34,63.33,White,Mathematics and Statistics,2002,Online
Male,18.91,168.93,65.72,White,Environmental Sciences,2001,Online
Female,20.84,171.24,65.83,White,Biology,2000,Campus
Male,20.3,170.32,66,White,Social Sciences,2002,Online
Male,19.55,170.93,67.17,White,Mathematics and Statistics,2001,Campus
Male,21.58,171.56,66.01,White,Environmental Sciences,2000,Online
Female,22.36,172.67,66.62,White,Social Sciences,2002,Campus
Male,19.58,170.11,66.37,White,Biology,2001,Campus
Male,19.25,169.41,65.55,White,Economics and Finance,2000,Online
Male,19.45,170.52,64.62,White,Biology,2002,Online
Female,19.35,169.14,64.8,White,Biology,2001,Campus
Female,20.31,170.33,64.8,White,Social Sciences,2000,Online
Male,19.74,169.82,64.88,White,Environmental Sciences,2002,Online
Female,19.27,168.78,64.48,White,Environmental Sciences,2001,Online
Female,20.86,170.42,64.64,White,Environmental Sciences,2000,Online
Female,21.47,170.6,65.58,White,Political Science,2002,Online
Female,19.77,168.79,64.38,White,Biology,2001,Campus
Female,21.24,172.04,67.43,White,Social Sciences,2000,Campus
Female,21.38,169.51,65.48,White,Economics and Finance,2002,Campus
Female,19.78,170.5,64.27,White,Economics and Finance,2001,Campus
Female,19.22,169.16,65.83,White,Political Science,2000,Campus
Male,22.17,172.51,66.98,White,Economics and Finance,2002,Campus
Female,19.64,168.27,63.54,White,Environmental Sciences,2001,Campus
Female,20.12,170.12,65.84,White,Political Science,2000,Campus
Male,21.52,171.29,66.95,White,Economics and Finance,2002,Online
Male,19.59,169.33,65.15,White,Political Science,2001,Online
Female,18.85,169.09,64.45,White,Biology,2000,Online
Male,19.32,168.93,63.79,White,Mathematics and Statistics,2002,Campus
Female,19.28,168.49,64.05,White,Social Sciences,2001,Campus
Female,19.85,169.03,65.52,White,Biology,2000,Online
Male,20.23,170.41,65.22,White,Environmental Sciences,2002,Online
Male,19.08,170.16,64.52,White,Political Science,2001,Campus
Female,20.78,171.59,66.31,White,Political Science,2000,Online
Female,20.17,171.63,65.56,White,Environmental Sciences,2002,Campus
Male,17.81,168.08,63.56,White,Social Sciences,2001,Campus
Male,20.94,170.24,64.74,White,Political Science,2000,Online
Male,17.87,169.82,63.61,White,Mathematics and Statistics,2002,Online
Male,20.17,171.1,65.85,White,Biology,2001,Online
Female,19.08,168.52,65.08,White,Political Science,2000,Online
Male,20.42,169.98,65.67,White,Economics and Finance,2002,Online
Male,20.15,169.94,65.16,White,Mathematics and Statistics,2001,Online
Female,20.07,168.55,63.28,White,Biology,2000,Campus
Male,21.48,172.09,66.28,White,Economics and Finance,2002,Campus
Female,18.91,167.54,63.48,White,Social Sciences,2001,Campus
Female,19.67,169.64,65.37,White,Social Sciences,2000,Campus
Male,19.15,168.13,64.43,White,Economics and Finance,2002,Online
Male,21.31,170.79,64.71,White,Environmental Sciences,2001,Online
Male,21.26,171.15,65.84,White,Mathematics and Statistics,2000,Campus
Female,18.13,169.63,65.17,White,Political Science,2002,Campus
Male,19.42,170.48,65.34,White,Mathematics and Statistics,2001,Online
Female,20.87,169.95,65.5,White,Social Sciences,2000,Campus
Male,19.42,169.54,65.29,White,Mathematics and Statistics,2002,Campus
Female,21.29,169.07,66.23,White,Political Science,2001,Online
Male,17.73,167.81,63.7,White,Mathematics and Statistics,2000,Online
Female,19.46,168.23,64.94,White,Economics and Finance,2002,Campus
Male,20.24,169.13,63.01,White,Mathematics and Statistics,2001,Online
Male,19.3,169.5,65,White,Biology,2000,Online
Female,17.98,167.78,62.79,White,Environmental Sciences,2002,Online
Male,20.43,169.26,66,White,Biology,2001,Online
Female,19.71,171.07,64.18,White,Biology,2000,Campus
Male,21.08,170.44,65.56,White,Mathematics and Statistics,2002,Campus
Female,20.12,169.26,64.22,White,Political Science,2001,Online
Female,19.15,169.5,63.7,White,Political Science,2000,Online
Male,20.87,170.27,65.05,White,Biology,2002,Online
Male,19.54,169.06,63.91,White,Mathematics and Statistics,2001,Online
Female,20.92,169.29,65.86,White,Biology,2000,Online
Male,20.96,171.6,66.1,White,Social Sciences,2002,Online
Male,17.98,167.95,63.09,White,Environmental Sciences,2001,Campus
Female,19.87,170.2,65.14,White,Biology,2000,Campus
Male,19.5,168.48,64.52,White,Mathematics and Statistics,2002,Online
Male,19.85,169.86,64.22,White,Mathematics and Statistics,2001,Online
Female,20.53,171.44,65.06,White,Environmental Sciences,2000,Campus
Female,20.99,171.87,65.8,White,Environmental Sciences,2002,Campus
Female,19.56,168.7,65.42,White,Political Science,2001,Campus
Male,20.02,170.04,64.85,White,Mathematics and Statistics,2000,Online
Male,20.45,169.63,65.69,White,Environmental Sciences,2002,Campus
Female,19.78,170.09,64.2,White,Political Science,2001,Online
Female,19.14,168.7,64.34,White,Economics and Finance,2000,Online
Female,20.77,170.08,63.91,White,Biology,2002,Online
Male,19.55,169.12,65.15,White,Political Science,2001,Online
Female,19.62,169.71,64.52,White,Social Sciences,2000,Online
Male,18.52,168.71,63.81,White,Environmental Sciences,2002,Online
Female,20.56,170.61,65.28,White,Biology,2001,Campus
Male,19.05,170.2,66.04,White,Economics and Finance,2000,Online
Male,20.78,170.15,66.16,White,Mathematics and Statistics,2002,Online
Female,20.19,169.36,64.06,White,Environmental Sciences,2001,Online
Female,20.38,170.57,65.37,White,Political Science,2000,Online
Female,20.6,170.92,66.32,White,Political Science,2002,Online
Male,20.1,169.76,64.21,White,Mathematics and Statistics,2001,Campus
Female,21.46,170.69,65.03,White,Biology,2000,Online
Male,19.57,170.3,66.01,White,Political Science,2002,Online
Male,19.56,169.22,64.39,White,Biology,2001,Online
Male,19.44,169.02,64.83,White,Social Sciences,2000,Campus
Female,21.14,170.59,65.38,White,Political Science,2002,Campus
Female,18.99,168.68,65.93,White,Biology,2001,Online
Male,18.93,170.51,66.04,White,Biology,2000,Online
Male,20.51,171.56,67.23,White,Biology,2002,Campus
Male,20.95,170.26,65.47,White,Political Science,2001,Online
Male,20.59,170.32,64.86,White,Environmental Sciences,2000,Online
Female,19.31,169.57,65.44,White,Political Science,2002,Campus
Female,20.72,170.78,64.61,White,Environmental Sciences,2001,Online
Female,20.42,171.99,65.8,White,Biology,2000,Online
Male,20.39,169.22,64.4,White,Mathematics and Statistics,2002,Online
Female,19.67,170.12,65.07,White,Political Science,2001,Campus
Female,20.86,171.06,65.95,White,Environmental Sciences,2000,Campus
Female,20.11,169.56,64.94,White,Political Science,2002,Campus
Male,19.99,170.5,65.28,White,Biology,2001,Campus
Female,19.28,170.37,64.98,White,Political Science,2000,Campus
Female,19.25,168.76,63.49,White,Political Science,2002,Online
Male,20.13,169.96,65.62,White,Mathematics and Statistics,2001,Campus
Female,18.29,168.47,64.65,White,Political Science,2000,Campus
Male,20.43,170.83,64.59,White,Economics and Finance,2002,Campus
Male,18.9,169.27,64.78,White,Mathematics and Statistics,2001,Online
Female,22.23,172.01,66.48,White,Mathematics and Statistics,2000,Online
Male,21.19,171.25,65.85,White,Economics and Finance,2002,Online
Male,22.68,172.75,66.27,White,Economics and Finance,2001,Campus
Female,19.46,170.72,66.26,White,Environmental Sciences,2000,Online
Female,21.14,171.13,66.67,White,Social Sciences,2002,Campus
Female,20.58,169.62,64.72,White,Biology,2001,Online
Female,20.47,170.72,64.34,White,Economics and Finance,2000,Online
Male,18.95,168.81,64.93,White,Economics and Finance,2002,Online
Female,19.8,169.28,63.22,White,Biology,2001,Online
Male,20.83,171.05,65.06,White,Political Science,2000,Campus
Female,19.28,169.35,64.71,White,Social Sciences,2002,Campus
Male,19.9,170.6,66.02,White,Economics and Finance,2001,Campus
Male,20.97,171.31,65.66,White,Mathematics and Statistics,2000,Campus
Male,18.89,168.83,63.05,White,Political Science,2002,Campus
Female,20.39,169.9,65.14,White,Biology,2001,Online
Female,19.92,169.05,64.08,White,Mathematics and Statistics,2000,Online
Female,19.14,169.7,65.33,White,Political Science,2002,Online
Male,20.64,171.25,65.64,White,Biology,2001,Online
Female,19.49,170.53,64.24,White,Political Science,2000,Online
Female,20.09,171.83,66.08,White,Social Sciences,2002,Online
Male,22.71,172.66,66.79,White,Mathematics and Statistics,2001,Campus
Male,22.53,172.26,66.02,White,Environmental Sciences,2000,Online
Female,20.43,168.82,64.04,White,Economics and Finance,2002,Online
Female,21.02,170.53,66.83,White,Political Science,2001,Campus
Female,18.99,168.5,63.59,White,Biology,2000,Online
Male,18.76,169.78,65.6,White,Political Science,2002,Online
Female,19.55,169.31,64.42,White,Environmental Sciences,2001,Online
Female,19.56,170.04,66.97,White,Environmental Sciences,2000,Campus
Male,19.95,169.26,64.47,White,Mathematics and Statistics,2002,Online
Female,19.46,170.22,64.75,White,Biology,2001,Campus
Female,19.97,170.07,64.76,White,Environmental Sciences,2000,Campus
Female,20.46,171.5,65.69,White,Biology,2002,Online
